ChestGirth,Weight
23,65
24,70
27,74
38,142
31,121
26,80
30.5,108
45,344
49,371
54,416
52,432
49,348
54.5,476
55,478
49,386
35,166
41,220
45,334
41,262
49,360
53,416
38,204
31,144
32,122
44,332
19,34
32,140
37,180
29,105
33,166
39,204
40,250
19,26
30,120
30,114
38,210
48,436
32,125
34,152
36,176
33,132
35,180
28,90
34.5,140
23,40
42,220
23,46
25,60
34,154
31,116
34.5,182
34,150
39,180
35,172
32.5,150
28,90
26,65
48,356
48,316
34,148
30,104
29,94
29.5,86
35,150
35,166
44.5,270
39,202
40,202
50,365
31,79
28,90
38,148
55,446
27,62
44,236
44,212
42,204
40,224
26,60
26,64
34,146
35,152
50,400
41,248
41,278
46.5,297
47,350
30.5,114
28,76
23,48
34.5,148
29,114
29.5,116
34,158
35,198
33.5,114
33,135
29,130
30,130
36,190
37,180
27.5,110
31,140
33,144
35,160
35,184
25.5,79
40,216
42.5,302
32,122
45.5,322
47,308
33,154
34,146
35,162
49,396
30.5,122
32.5,126
34,146
37,156
32,142
24,29
49.5,348
48.5,368
32,116
34,130
37,160
36.5,154
45,316
35,158
32,120
54,514
43,324
38,196
32.8,140
32.5,114
24,82
40,230
42.5,290
42.5,289
28.5,128
32.5,156
49,398
